"","time","ABi","ABo","Tau","Fi","Fo","A","M1","M2","N"
"134",134,7.0000006142031e-06,7.16237717901528e-07,5.8483654349718e-10,3.20430021197547e-10,3.81300064132121e-11,0.270383671873165,0.0312943709474002,0.00557766366114504,0.137296371501269
"135",135,7.00000038085739e-06,7.19143496337509e-07,5.84836780435363e-10,3.20512680168784e-10,3.816333997253e-11,0.271468882598407,0.0313293643161019,0.00554471368400344,0.137276265673424
"136",136,6.99999990389008e-06,7.22023207733415e-07,5.84836961208909e-10,3.20595103197519e-10,3.81966756051439e-11,0.272554363025502,0.0313640132116858,0.00551227191876759,0.137256160140325
"137",137,6.99999994165027e-06,7.24877090818981e-07,5.84837099210868e-10,3.20677290909102e-10,3.8230013278206e-11,0.273640097404124,0.0313983225897665,0.00548033078179478,0.137236054910933
"138",138,7.00000000920369e-06,7.2770538201896e-07,5.84837204591239e-10,3.20759243946345e-10,3.82633529589642e-11,0.274726070224557,0.0314322973322334,0.00544888280239573,0.137215949994174
"139",139,7.00000000796845e-06,7.30508315450479e-07,5.84837285059055e-10,3.20840962964661e-10,3.82966946147645e-11,0.275812266214862,0.0314659422481161,0.00541792062150922,0.137195845398944
"140",140,6.99999999515226e-06,7.33286123183511e-07,5.84837346658766e-10,3.20922448627584e-10,3.83300382130429e-11,0.276898670313822,0.0314992620818777,0.00538743697899738,0.137175741134112
"141",141,6.99999999456754e-06,7.3603903502419e-07,5.84837393972258e-10,3.21003701605316e-10,3.83633837213367e-11,0.277985267693054,0.0315322615066369,0.00535742472403085,0.13715563720851
"142",142,7.00000001783077e-06,7.38767278152368e-07,5.84837430120813e-10,3.21084722574349e-10,3.83967311073023e-11,0.279072043793861,0.0315649451128789,0.00532787683238651,0.137135533630936
"143",143,7.00000001599108e-06,7.41471077545366e-07,5.84837457550152e-10,3.21165512213088e-10,3.84300803386993e-11,0.280158984282402,0.0315973174221908,0.00529878638540488,0.137115430410155
"144",144,6.99999998815324e-06,7.44150656238913e-07,5.8483747835361e-10,3.21246071200126e-10,3.84634313833801e-11,0.281246075022131,0.0316293828957074,0.00527014655705098,0.1370953275549
"145",145,6.99999999257884e-06,7.46806235242525e-07,5.8483749419858e-10,3.21326400214596e-10,3.84967842092944e-11,0.282333302082168,0.0316611459315459,0.00524195061784625,0.137075225073875
"146",146,7.00000001667655e-06,7.49438033443422e-07,5.8483750630341e-10,3.21406499936197e-10,3.85301387844944e-11,0.283420651746919,0.0316926108618603,0.00521419193938183,0.137055122975752
"147",147,7.00000000312458e-06,7.52046267603691e-07,5.84837515544812e-10,3.21486371044526e-10,3.85634950771361e-11,0.284508110515664,0.0317237819529654,0.00518686399413013,0.13703502126917
"148",148,6.99999998122519e-06,7.54631152408734e-07,5.84837522584728e-10,3.21566014218337e-10,3.85968530554782e-11,0.285595665096703,0.0317546634071332,0.00515996035269353,0.137014919962736
